Year,Category,Status,Movie,MovieId,AssociatedPeople,AssociatedIds,Person,PersonId
1988,BestSpanishLanguageForeignFilm(MejorPelículaExtranjeradeHablaHispana),Nominee,Hombre mirando al sudeste,tt0091214,[],[],,
1988,BestSpanishLanguageForeignFilm(MejorPelículaExtranjeradeHablaHispana),Nominee,Un hombre de éxito,tt0089288,[],[],,
1988,BestSpecialEffects(MejoresEfectosEspeciales),Winner,Angustia,tt0090644,['Francisco Teres'],['nm0856217'],,
1988,BestSpecialEffects(MejoresEfectosEspeciales),Nominee,Descanse en piezas,tt0092873,['John Collins'],['nm10314579'],,
1988,BestSpecialEffects(MejoresEfectosEspeciales),Nominee,A los cuatro vientos,tt0092502,['Julián Martín'],['nm0554691'],,
1988,BestSupportingActor(MejorActordeReparto),Winner,Divinas palabras,tt0092901,,,Juan Echanove,nm0248364
1988,BestSupportingActor(MejorActordeReparto),Nominee,Moros y cristianos,tt0093569,,,Agustín González,nm0328020
1988,BestSupportingActor(MejorActordeReparto),Nominee,Moros y cristianos,tt0093569,,,Pedro Ruiz,nm0749899
1988,BestSupportingActress(MejorActrizdeReparto),Winner,Moros y cristianos,tt0093569,,,Verónica Forqué,nm0286579
1988,BestSupportingActress(MejorActrizdeReparto),Nominee,Cara de acelga,tt0090797,,,Marisa Paredes,nm0004650
1988,BestSupportingActress(MejorActrizdeReparto),Nominee,"Laura, del cielo llega la noche",tt0093394,,,Terele Pávez,nm0701715
1988,Honorary(Honorifico),Winner,,,,,Rafaela Aparicio,nm0031958
1989,BestAdaptedScreenplay(MejorGuiónAdaptado),Winner,Jarrapellejos,tt0093297,"['Antonio Giménez Rico', 'Manuel Gutiérrez Aragón']","['nm0319846', 'nm0349426']",,
1989,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,El túnel,tt0094201,"['Carlos A. Cornejo', 'José A. Mahieu', 'Antonio Drove']","['nm0180138', 'nm0536926', 'nm0238393']",,
1989,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,El placer de matar,tt0093747,['Félix Rotaeta'],['nm0744707'],,
1989,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,El aire de un crimen,tt0094624,"['Gabriel Castro', 'Antonio Isasi-Isasmendi', 'Jorge Rodríguez del Álamo']","['nm0145547', 'nm0410714', 'nm0215320']",,
1989,BestAdaptedScreenplay(MejorGuiónAdaptado),Nominee,El Lute II: mañana seré libre,tt0095559,"['Joaquim Jordà', 'Vicente Aranda', 'Eleuterio Sánchez']","['nm0430286', 'nm0033005', 'nm0844899']",,
1989,BestCinematography(MejorFotografía),Winner,Remando al viento,tt0093840,['Carlos Suárez'],['nm0840757'],,
1989,BestCinematography(MejorFotografía),Nominee,Malaventura,tt0095572,['José Luis Alcaine'],['nm0003900'],,
1989,BestCinematography(MejorFotografía),Nominee,Mujeres al borde de un ataque de 'nervios',tt0095675,['José Luis Alcaine'],['nm0003900'],,
1989,BestCinematography(MejorFotografía),Nominee,Berlín Blues,tt0094729,['Teo Escamilla'],['nm0005700'],,
1989,BestCinematography(MejorFotografía),Nominee,El Dorado,tt0095053,['Teo Escamilla'],['nm0005700'],,
1989,BestCostumeDesign(MejorDiseñodeVestuario),Winner,Remando al viento,tt0093840,['Yvonne Blake'],['nm0086762'],,
1989,BestCostumeDesign(MejorDiseñodeVestuario),Nominee,Mujeres al borde de un ataque de 'nervios',tt0095675,['José María de Cossío'],['nm0208130'],,
1989,BestCostumeDesign(MejorDiseñodeVestuario),Nominee,El Dorado,tt0095053,"['Terry Pritchard', 'Gerardo Vera', 'Maritza González']","['nm0698075', 'nm0893536', 'nm8530199']",,
1989,BestCostumeDesign(MejorDiseñodeVestuario),Nominee,Berlín Blues,tt0094729,['Gerardo Vera'],['nm0893536'],,
1989,BestCostumeDesign(MejorDiseñodeVestuario),Nominee,Jarrapellejos,tt0093297,['Javier Artiñano'],['nm0037919'],,
1989,BestDirector(MejorDirector),Winner,Remando al viento,tt0093840,,,Gonzalo Suárez,nm0840779
1989,BestDirector(MejorDirector),Nominee,Espérame en el cielo,tt0092982,,,Antonio Mercero,nm0580318
1989,BestDirector(MejorDirector),Nominee,Diario de invierno,tt0095015,,,Francisco Regueiro,nm0716748
1989,BestDirector(MejorDirector),Nominee,Mujeres al borde de un ataque de 'nervios',tt0095675,,,Pedro Almodóvar,nm0000264
1989,BestDirector(MejorDirector),Nominee,Berlín Blues,tt0094729,,,Ricardo Franco,nm0002797
1989,BestEditing(MejorMontaje),Winner,Mujeres al borde de un ataque de 'nervios',tt0095675,['José Salcedo'],['nm0757814'],,
1989,BestEditing(MejorMontaje),Nominee,El Dorado,tt0095053,['Pedro del Rey'],['nm0215811'],,
1989,BestEditing(MejorMontaje),Nominee,Baton Rouge,tt0094822,['José Salcedo'],['nm0757814'],,
1989,BestEditing(MejorMontaje),Nominee,Remando al viento,tt0093840,['José Salcedo'],['nm0757814'],,
1989,BestEditing(MejorMontaje),Nominee,Berlín Blues,tt0094729,['Teresa Font'],['nm0284765'],,
1989,BestFilm(MejorPelícula),Winner,Mujeres al borde de un ataque de 'nervios',tt0095675,"['El Deseo', 'Laurenfilm']","['', '']",,
1989,BestFilm(MejorPelícula),Nominee,El túnel,tt0094201,['Santiago Cinematografica'],[''],,
1989,BestFilm(MejorPelícula),Nominee,Espérame en el cielo,tt0092982,['BMG Films'],[''],,
1989,BestFilm(MejorPelícula),Nominee,Diario de invierno,tt0095015,['Castor Films'],[''],,
1989,BestFilm(MejorPelícula),Nominee,Remando al viento,tt0093840,"['Ditirambo Films', 'Viking Films']","['', '']",,
1989,BestLeadActor(MejorActorPrincipal),Winner,Diario de invierno,tt0095015,,,Fernando Rey,nm0721073
1989,BestLeadActor(MejorActorPrincipal),Nominee,Sinatra,tt0096111,,,Alfredo Landa,nm0484376
1989,BestLeadActor(MejorActorPrincipal),Nominee,Jarrapellejos,tt0093297,,,Antonio Ferrandis,nm0273888
1989,BestLeadActor(MejorActorPrincipal),Nominee,El Lute II: mañana seré libre,tt0095559,,,Imanol Arias,nm0002181
1989,BestLeadActor(MejorActorPrincipal),Nominee,Espérame en el cielo,tt0092982,,,Pepe Soriano,nm0815008
