Year,Category,Status,Person,PersonId,Movie,MovieId,AssociatedPeople,AssociatedIds
1930,BestCinematography,Winner,,,Con Byrd en el Polo Sur,tt0020594,"['Joseph T. Rucker', 'Willard Van der Veer']","['nm0748530', 'nm0886447']"
1930,BestCinematography,Nominee,,,Sin novedad en el frente,tt0020629,['Arthur Edeson'],['nm0249186']
1930,BestCinematography,Nominee,,,Anna Christie,tt0020641,['William H. Daniels'],['nm0200125']
1930,BestCinematography,Nominee,,,Los ángeles del infierno,tt0020960,"['Tony Gaudio', 'Harry Perry']","['nm0309974', 'nm0675091']"
1930,BestCinematography,Nominee,,,El desfile del amor,tt0020112,['Victor Milner'],['nm0005800']
1930,BestDirector,Winner,Lewis Milestone,nm0587277,Sin novedad en el frente,tt0020629,,
1930,BestDirector,Nominee,Clarence Brown,nm0113284,Anna Christie,tt0020641,,
1930,BestDirector,Nominee,Clarence Brown,nm0113284,Romance,tt0021310,,
1930,BestDirector,Nominee,Robert Z. Leonard,nm0502752,La divorciada,tt0020827,,
1930,BestDirector,Nominee,Ernst Lubitsch,nm0523932,El desfile del amor,tt0020112,,
1930,BestDirector,Nominee,King Vidor,nm0896542,Aleluya,tt0019959,,
1930,BestPicture,Winner,,,Sin novedad en el frente,tt0020629,[],[]
1930,BestPicture,Nominee,,,El presidio,tt0020686,[],[]
1930,BestPicture,Nominee,,,Disraeli,tt0019823,[],[]
1930,BestPicture,Nominee,,,La divorciada,tt0020827,[],[]
1930,BestPicture,Nominee,,,El desfile del amor,tt0020112,[],[]
1930,"BestSound,Recording",Winner,,,El presidio,tt0020686,['Douglas Shearer'],['nm0790428']
1930,"BestSound,Recording",Nominee,,,El sargento Grischa,tt0020744,['John E. Tribby'],['nm0872569']
1930,"BestSound,Recording",Nominee,,,El desfile del amor,tt0020112,['Franklin Hansen'],['nm0360630']
1930,"BestSound,Recording",Nominee,,,Raffles,tt0021281,['Oscar Lagerstrom'],['nm0481264']
1930,"BestSound,Recording",Nominee,,,The Song of the Flame,tt0021404,['George Groves'],['nm0344060']
1930,"BestWriting,Achievement",Winner,,,El presidio,tt0020686,['Frances Marion'],['nm0547966']
1930,"BestWriting,Achievement",Nominee,,,Sin novedad en el frente,tt0020629,"['George Abbott', 'Maxwell Anderson', 'Del Andrews']","['nm0007973', 'nm0027173', 'nm0028636']"
1930,"BestWriting,Achievement",Nominee,,,Disraeli,tt0019823,['Julien Josephson'],['nm0430756']
1930,"BestWriting,Achievement",Nominee,,,La divorciada,tt0020827,['John Meehan'],['nm0576046']
1930,"BestWriting,Achievement",Nominee,,,Street of Chance,tt0021420,['Howard Estabrook'],['nm0261455']
1931,BestActorinaLeadingRole,Winner,Lionel Barrymore,nm0000859,Un alma libre,tt0021885,,
1931,BestActorinaLeadingRole,Nominee,Jackie Cooper,nm0178114,Skippy,tt0022397,,
1931,BestActorinaLeadingRole,Nominee,Richard Dix,nm0228715,Cimarrón,tt0021746,,
1931,BestActorinaLeadingRole,Nominee,Fredric March,nm0545298,The Royal Family of Broadway,tt0021322,,
1931,BestActorinaLeadingRole,Nominee,Adolphe Menjou,nm0579663,Un gran reportaje,tt0021890,,
1931,BestActressinaLeadingRole,Winner,Marie Dressler,nm0237597,Fruta amarga,tt0021148,,
1931,BestActressinaLeadingRole,Nominee,Marlene Dietrich,nm0000017,Marruecos,tt0021156,,
1931,BestActressinaLeadingRole,Nominee,Irene Dunne,nm0002050,Cimarrón,tt0021746,,
1931,BestActressinaLeadingRole,Nominee,Ann Harding,nm0362267,Holiday,tt0020985,,
1931,BestActressinaLeadingRole,Nominee,Norma Shearer,nm0790454,Un alma libre,tt0021885,,
1931,BestArtDirection,Winner,,,Cimarrón,tt0021746,['Max Rée'],['nm0753663']
1931,BestArtDirection,Nominee,,,"1980, una fantasía del porvenir",tt0021016,"['Stephen Goosson', 'Ralph Hammeras']","['nm0329684', 'nm0358518']"
1931,BestArtDirection,Nominee,,,Marruecos,tt0021156,['Hans Dreier'],['nm0237417']
1931,BestArtDirection,Nominee,,,Svengali,tt0022454,['Anton Grot'],['nm0343819']
1931,BestArtDirection,Nominee,,,Whoopee!,tt0021549,['Richard Day'],['nm0206554']
1931,BestCinematography,Winner,,,Tabú,tt0022458,['Floyd Crosby'],['nm0005677']
1931,BestCinematography,Nominee,,,Cimarrón,tt0021746,['Edward Cronjager'],['nm0005676']
1931,BestCinematography,Nominee,,,Marruecos,tt0021156,['Lee Garmes'],['nm0005716']
1931,BestCinematography,Nominee,,,The Right to Love,tt0021301,['Charles Lang'],['nm0485702']
1931,BestCinematography,Nominee,,,Svengali,tt0022454,['Barney McGill'],['nm0569222']
1931,BestDirector,Winner,Norman Taurog,nm0851537,Skippy,tt0022397,,
1931,BestDirector,Nominee,Clarence Brown,nm0113284,Un alma libre,tt0021885,,
1931,BestDirector,Nominee,Lewis Milestone,nm0587277,Un gran reportaje,tt0021890,,
1931,BestDirector,Nominee,Wesley Ruggles,nm0749484,Cimarrón,tt0021746,,
1931,BestDirector,Nominee,Josef von Sternberg,nm0903049,Marruecos,tt0021156,,
1931,BestPicture,Winner,,,Cimarrón,tt0021746,[],[]
1931,BestPicture,Nominee,,,Vidas truncadas,tt0021826,[],[]
1931,BestPicture,Nominee,,,Un gran reportaje,tt0021890,[],[]
1931,BestPicture,Nominee,,,Skippy,tt0022397,[],[]
1931,BestPicture,Nominee,,,Trader Horn,tt0022495,[],[]
1931,"BestSound,Recording",Winner,Paramount Publix Corporation,,Metro-Goldwyn-Mayer (MGM),,,
1931,"BestSound,Recording",Nominee,Metro-Goldwyn-Mayer (MGM),,RKO Radio Pictures,,,
1931,"BestSound,Recording",Nominee,RKO Radio Pictures,,Samuel Goldwyn Sound Department,,,
1931,"BestSound,Recording",Nominee,Samuel Goldwyn Sound Department,,United Artists,,,
1931,"BestWriting,Adaptation",Winner,,,Cimarrón,tt0021746,['Howard Estabrook'],['nm0261455']
1931,"BestWriting,Adaptation",Nominee,,,El código penal,tt0021770,"['Seton I. Miller', 'Fred Niblo Jr.']","['nm0589316', 'nm0629240']"
1931,"BestWriting,Adaptation",Nominee,,,Holiday,tt0020985,['Horace Jackson'],['nm0413590']
1931,"BestWriting,Adaptation",Nominee,,,Hampa dorada,tt0021079,"['Francis Edward Faragoh', 'Robert N. Lee']","['nm0267020', 'nm0498133']"
1931,"BestWriting,Adaptation",Nominee,,,Skippy,tt0022397,"['Joseph L. Mankiewicz', 'Sam Mintz']","['nm0000581', 'nm0591791']"
1931,"BestWriting,OriginalStory",Winner,,,La escuadrilla del amanecer,tt0020815,['John Monk Saunders'],['nm0766850']
1931,"BestWriting,OriginalStory",Nominee,,,La senda del crimen,tt0020836,['Rowland Brown'],['nm0114602']
1931,"BestWriting,OriginalStory",Nominee,,,Falsa personalidad,tt0021053,"[""Harry d'Abbadie d'Arrast"", 'Douglas Z. Doty', 'Donald Ogden Stewart']","['nm0195496', 'nm0234608', 'nm0829330']"
